Brand,Variety,Style,Country,Stars,Country / Region,2014,2015,2016,2017,2018
Nissin,Kuroma-yu Tonkotsu Kumamoto Ramen,Bowl,Japan,4.75,Japan,"5,500","5,540","5,660","5,660","5,780"
Prima Taste,Singapore Curry Wholegrain La Mian,Pack,Singapore,5,Singapore,130,130,130,130,130
Vifon,Chicken Flavour Asian Style Instant Noodles,Pack,Vietnam,3.5,Viet Nam,"5,000","4,800","4,920","5,060","5,200"
Pirkka,Nuudeli Kana Nudlar Kyckling,Pack,Finland,3.5,Finland,10,10,10,10,10
Bonasia,Instant Noodles Duck Flavour,Pack,Hungary,3,Hungary,20,20,30,30,30
Higashimaru,Tonkotsu Ramen,Pack,Japan,4.5,Japan,"5,500","5,540","5,660","5,660","5,780"
MAMA,Seafood Tom Yum Sichek Flavour,Pack,Myanmar,5,Myanmar,410,460,570,590,600
Prima,Juzz's Mee Original Spicy Flavour,Pack,Singapore,5,Singapore,130,130,130,130,130
Ibumie,Always Mi Goreng Perisa Kari Kapitan,Pack,Malaysia,5,Malaysia,"1,340","1,370","1,390","1,310","1,370"
Koh Thai,Island Of Flavours Thai Royal Shrimp Instant Noodles,Pack,Netherlands,1.5,Netherlands,20,20,20,30,20
Master Kong,Spicy Fish Noodle,Bowl,China/Hong Kong,3,China/Hong Kong,"44,400","40,430","38,520","38,970","40,250"
Nissin,Cup Noodle Massaman Curry,Cup,Japan,3.5,Japan,"5,500","5,540","5,660","5,660","5,780"
Asia Gold,Instant Noodles Duck Flavour,Pack,Hungary,3.5,Hungary,20,20,30,30,30
Maruchan,Seimen Houjyun Koku Shoyu,Bowl,Japan,5,Japan,"5,500","5,540","5,660","5,660","5,780"
MAMA,Rangers Snack Noodles BBQ Flavour,Pack,Myanmar,2.75,Myanmar,410,460,570,590,600
Nissin,Cup Noodle Sio,Cup,Japan,5,Japan,"5,500","5,540","5,660","5,660","5,780"
Ottogi,Cheese Ramen,Pack,South Korea,4,Republic of Korea,"3,590","3,650","3,830","3,740","3,820"
Nissin,Cup Noodles Homestyle Chicken,Cup,United States,3.5,USA,"4,280","4,080","4,100","4,130","4,400"
Kuriki,Beef Tongue Shio Mayo Ramen,Pack,Japan,4.5,Japan,"5,500","5,540","5,660","5,660","5,780"
MAMA,Rangers Snack Noodles Sour Cream Flavour,Pack,Myanmar,2.75,Myanmar,410,460,570,590,600
Nissin,Cup Noodles Kyushu White Flavour,Cup,Singapore,3.5,Singapore,130,130,130,130,130
Myojo,Mee Poh Dry,Pack,Singapore,4.25,Singapore,130,130,130,130,130
Myojo,Chicken Abalone Flavour,Bowl,Singapore,3.75,Singapore,130,130,130,130,130
Myojo,Ramen Char Mee 100,Pack,Singapore,3,Singapore,130,130,130,130,130
Myojo,La Ramen Spicy Mushroom Flavour Big Bowl,Bowl,Singapore,4.5,Singapore,130,130,130,130,130
Myojo,Mee Goreng,Pack,Singapore,4,Singapore,130,130,130,130,130
Myojo,La Ramen Spicy Lobster Hot Pot Flavour Big Bowl,Bowl,Singapore,4.75,Singapore,130,130,130,130,130
Myojo,Chicken Abalone Flavour,Pack,Singapore,3.5,Singapore,130,130,130,130,130
Myojo,Thai Tom Yam Flavour,Bowl,Singapore,3.75,Singapore,130,130,130,130,130
Myojo,Chicken Tanmen Flavour,Pack,Singapore,3.5,Singapore,130,130,130,130,130
Myojo,Extra Spicy Singapore Curry Big Bowl,Bowl,Singapore,5,Singapore,130,130,130,130,130
Myojo,La Ramen Spicy Mushroom Flavour,Pack,Singapore,4.5,Singapore,130,130,130,130,130
Myojo,Chicken Flavour,Pack,Singapore,3.75,Singapore,130,130,130,130,130
Sapporo Ichiban,Tonkotsu Ramen Artificially Flavored Tonkotsu White Chicken Broth,Pack,United States,5,USA,"4,280","4,080","4,100","4,130","4,400"
Ibumie,Always Mi Goreng Perisa Thai Tom Yam,Pack,Malaysia,2.5,Malaysia,"1,340","1,370","1,390","1,310","1,370"
Vedan,Wei Wei A Instant Noodles Chicken Flavor,Bowl,Taiwan,0,Taiwan,710,680,770,820,830
Itsuki,Hakata Ossyoi,Pack,Japan,5,Japan,"5,500","5,540","5,660","5,660","5,780"
Nissin,Cup Noodles Minced Pork Flavour,Cup,Thailand,3.75,Thailand,"3,070","3,070","3,360","3,390","3,460"
Asia Gold,Instant Noodles With Beef Flavouring,Pack,Hungary,2.75,Hungary,20,20,30,30,30
Nissin,Soba Fried Noodles Chili,Pack,Germany,3.5,Germany,180,190,200,200,200
Marutai,Kuroma-yu Tonkotsu Kumamoto Ramen,Bowl,Japan,4,Japan,"5,500","5,540","5,660","5,660","5,780"
Yum Yum,Premier Bowl Instant Noodles Stewed Pork Flavour,Bowl,Thailand,4,Thailand,"3,070","3,070","3,360","3,390","3,460"
MyKuali,Penang Spicy Prawn Soup Noodle,Pack,Malaysia,5,Malaysia,"1,340","1,370","1,390","1,310","1,370"
Mama,Shrimp Tom Yum Flavour Cup Noodles,Cup,Myanmar,3.5,Myanmar,410,460,570,590,600
Nissin,Raoh Ramen Noodle Soup Umami Tonkotsu Flavor,Pack,United States,5,USA,"4,280","4,080","4,100","4,130","4,400"
Baijia,Broad Noodle Pickled Vegetable Artificial Beef Flavor,Pack,China/Hong Kong,0,China/Hong Kong,"44,400","40,430","38,520","38,970","40,250"
Ibumie,Always Mi Goreng Perisa Asli,Pack,Malaysia,3.75,Malaysia,"1,340","1,370","1,390","1,310","1,370"
Conimex,Oriental Noodles Groene Curry,Cup,Netherlands,0.5,Netherlands,20,20,20,30,20
Nissin,Cupo Noodle Pasta Style Vongole,Cup,Japan,2.75,Japan,"5,500","5,540","5,660","5,660","5,780"
Mama,Instant Noodles chicken Green Curry Flavour,Pack,Cambodia,5,Cambodia,250,270,280,330,330
Myojo,Wantan Men,Bowl,Japan,5,Japan,"5,500","5,540","5,660","5,660","5,780"
IbuRamen,Mi Goreng Bento Noodles In A Box Shallot Teriyaki Flavor,Tray,United States,3.25,USA,"4,280","4,080","4,100","4,130","4,400"
Indomie,Instant Cup Noodles Mi Goreng Fried Noodles,Cup,Indonesia,5,Indonesia,"13,430","13,200","13,010","12,620","12,540"
Daraz,Negi Man Ramen,Pack,Japan,3,Japan,"5,500","5,540","5,660","5,660","5,780"
Mama,Chinese Kitchen Chinese Style Instant Noodles,Pack,Myanmar,3.5,Myanmar,410,460,570,590,600
Bonasia,Instant Noodles Shrimp Flavour,Pack,Hungary,3.5,Hungary,20,20,30,30,30
Myojo,Udon Japanese Style Precooked Noodles With Soup Hot & Spicy Flavor,Bowl,United States,3.25,USA,"4,280","4,080","4,100","4,130","4,400"
Fujiwara,Snow Crab Flavour Shio Ramen,Pack,Japan,3.5,Japan,"5,500","5,540","5,660","5,660","5,780"
Nissin,Raoh Ramen Noodle Soup Umami Miso Flavor,Pack,United States,4.5,USA,"4,280","4,080","4,100","4,130","4,400"
