Brand,Variety,Style,Country,Stars,Country / Region,2014,2015,2016,2017,2018
Mamee,Instant Noodles Vegetarian Flavour,Pack,Malaysia,3.75,Malaysia,"1,340","1,370","1,390","1,310","1,370"
Mamee,SLLRRRP! Kari Berapi,Pack,Malaysia,3.75,Malaysia,"1,340","1,370","1,390","1,310","1,370"
Mamee,Monster Chicken Flavour Snack Noodles,Pack,Malaysia,4,Malaysia,"1,340","1,370","1,390","1,310","1,370"
Mamee,Chef Curry Laksa Flavour,Pack,Malaysia,5,Malaysia,"1,340","1,370","1,390","1,310","1,370"
Mamee,Mie Goreng Indonesia Original Flavour,Cup,Malaysia,4.5,Malaysia,"1,340","1,370","1,390","1,310","1,370"
Mamee,Instant Vermicelli Tom Yam Flavour,Pack,Malaysia,3.75,Malaysia,"1,340","1,370","1,390","1,310","1,370"
Paldo,Bulnak Bokkummyun Spicy Fried Octopus Ramyun,Pack,South Korea,4,Republic of Korea,"3,590","3,650","3,830","3,740","3,820"
Oyatsu,Baby Star Ramen Round Consomme Mini,Pack,Japan,3.75,Japan,"5,500","5,540","5,660","5,660","5,780"
Lotus Foods,Forbidden Rice Ramen,Pack,United States,2.25,USA,"4,280","4,080","4,100","4,130","4,400"
Lotus Foods,Millet & Brown Rice Ramen,Pack,United States,4,USA,"4,280","4,080","4,100","4,130","4,400"
Lotus Foods,Jade Pearl Rice Ramen,Pack,United States,3.25,USA,"4,280","4,080","4,100","4,130","4,400"
Ah Lai,White Curry Noodle,Pack,Malaysia,4.5,Malaysia,"1,340","1,370","1,390","1,310","1,370"
Plats Du Chef,Cuisine Adventures Chicken Pho Soup,Bowl,Canada,5,Canada,190,190,190,190,190
Indomie,Taste Of Asia Mi Goreng Rasa Bulgogi Ala Korea,Pack,Indonesia,2.75,Indonesia,"13,430","13,200","13,010","12,620","12,540"
Kin-Dee,Instant Rice Noodle Pad Thai,Tray,Thailand,3.75,Thailand,"3,070","3,070","3,360","3,390","3,460"
Batchelors,Super Noodles Peppered Steak Flavour,Pack,United Kingdom,1.5,UK,360,360,360,360,370
Sakura Noodle,Chikara Brand Udon Beef Flavor,Pack,United States,4.25,USA,"4,280","4,080","4,100","4,130","4,400"
Shirakiku,Fresh Chow Mein Noodles With Seasoning,Pack,United States,3.75,USA,"4,280","4,080","4,100","4,130","4,400"
Sakura Noodle,Chikara Brand Udon Hot & Spicy Flavor,Pack,United States,4,USA,"4,280","4,080","4,100","4,130","4,400"
Sakura Noodle,Chikara Brand Udon Mushroom Flavor,Pack,United States,3.75,USA,"4,280","4,080","4,100","4,130","4,400"
Sakura Noodle,Chikara Brand Udon Oriental Flavor,Pack,United States,3.75,USA,"4,280","4,080","4,100","4,130","4,400"
Sakura Noodle,Chikara Brand Udon Chicken Flavor,Pack,United States,3.75,USA,"4,280","4,080","4,100","4,130","4,400"
Indomie,Taste Of Asia Mi Kuah Rasa Tom Yum Ala Thailand,Pack,Indonesia,3.75,Indonesia,"13,430","13,200","13,010","12,620","12,540"
Sapporo Ichiban,Otafuku Okonomi Sauce Yakisoba,Tray,Japan,5,Japan,"5,500","5,540","5,660","5,660","5,780"
Vifon,Oriental Style Instant Noodle Mi Ga Chicken Flavor,Cup,Vietnam,1.25,Viet Nam,"5,000","4,800","4,920","5,060","5,200"
A-Sha Dry Noodle,Hello Kitty La Wei (Spicy Flavor),Pack,Taiwan,3.75,Taiwan,710,680,770,820,830
Unif,Unif-100 Instant Noodles Artificial Tart Beef Flavor,Pack,China/Hong Kong,3,China/Hong Kong,"44,400","40,430","38,520","38,970","40,250"
Mamee,Mi Segera SLLRRRP! Perencah Kari Xtra Pedas,Pack,Malaysia,3.75,Malaysia,"1,340","1,370","1,390","1,310","1,370"
Koka,Spicy Shrimp Tom Yam Flavour,Cup,Singapore,3.25,Singapore,130,130,130,130,130
Ruski,Instant Noodles Stewed Beef Flavour,Pack,Thailand,3.5,Thailand,"3,070","3,070","3,360","3,390","3,460"
Golden Wheat,Korean Style Mushroom Chicken Flavour Cooking Noodle,Pack,China/Hong Kong,2,China/Hong Kong,"44,400","40,430","38,520","38,970","40,250"
Hi-Myon,Instant Noodle Udon Hot & Spicy,Pack,South Korea,4,Republic of Korea,"3,590","3,650","3,830","3,740","3,820"
Takamori Kosan,Fresh Chow Mein Noodles With Seasoning,Pack,Japan,3.75,Japan,"5,500","5,540","5,660","5,660","5,780"
Mama,Instant Noodles Cup Seafood Flavour,Cup,Thailand,3.75,Thailand,"3,070","3,070","3,360","3,390","3,460"
Adabi,Mi Segera Kari Ayam Instant Noodles,Pack,Malaysia,4.25,Malaysia,"1,340","1,370","1,390","1,310","1,370"
Nissin,Spa Oh Tarako Spaghetti,Bowl,Japan,4,Japan,"5,500","5,540","5,660","5,660","5,780"
Ve Wong,Little Prince Brand Snack Noodles Original Flavor,Pack,Taiwan,2.5,Taiwan,710,680,770,820,830
Ottogi,Japchae Vermicelli Noodle,Pack,South Korea,2.75,Republic of Korea,"3,590","3,650","3,830","3,740","3,820"
Sainsbury's,Chicken Flavour Instant Noodles,Pack,United Kingdom,2.75,UK,360,360,360,360,370
Paldo,Korean Traditional Beef Gomtangmen,Pack,South Korea,5,Republic of Korea,"3,590","3,650","3,830","3,740","3,820"
Healtimie,Green Barley Noodle Vegetable Soup,Pack,Indonesia,3.25,Indonesia,"13,430","13,200","13,010","12,620","12,540"
Maruchan,I Want To Eat Ramen Miso Flavor,Pack,Japan,3.75,Japan,"5,500","5,540","5,660","5,660","5,780"
Pop Bihun,Spesial Rasa Soto Ayam,Pack,Indonesia,4,Indonesia,"13,430","13,200","13,010","12,620","12,540"
Thai Kitchen,Rice Noodle Cart Thai Peanut,Tray,United States,3,USA,"4,280","4,080","4,100","4,130","4,400"
Yum Yum,Oriental Style Instant Noodles Seafood Flavour,Cup,Thailand,3.75,Thailand,"3,070","3,070","3,360","3,390","3,460"
Nongshim,Soon Veggie Noodle Soup,Pack,South Korea,5,Republic of Korea,"3,590","3,650","3,830","3,740","3,820"
Nissin,Cup Noodle Cheese Curry,Cup,Japan,3.75,Japan,"5,500","5,540","5,660","5,660","5,780"
Koka,Oriental Style Instant Noodles Tom Yam Flavour,Pack,Singapore,2.5,Singapore,130,130,130,130,130
A-Sha Dry Noodle,Instant Noodle Original Flavor,Pack,Taiwan,3.75,Taiwan,710,680,770,820,830
Nissin,Demae Ramen Shoyu Tonkotsu Artificial Pork Flavour,Pack,China/Hong Kong,4.75,China/Hong Kong,"44,400","40,430","38,520","38,970","40,250"
Western Family,Instant Noodles In A Cup Chicken Flavour,Cup,Canada,1.5,Canada,190,190,190,190,190
Mama,Instant Noodles Yentafo Tom Yum Mohfai Flavour,Pack,Thailand,5,Thailand,"3,070","3,070","3,360","3,390","3,460"
Knorr,Quick Serve Macaroni Shrimp Broth,Pack,China/Hong Kong,3.25,China/Hong Kong,"44,400","40,430","38,520","38,970","40,250"
Samyang Foods,Red Nagasaki Jjampong,Pack,South Korea,5,Republic of Korea,"3,590","3,650","3,830","3,740","3,820"
Mr. Noodles,Noodles In A Cup Spicy Chicken Simulated Flavour,Cup,Canada,1,Canada,190,190,190,190,190
Good Tto Leu Foods,Lightning Beef Bone Tteokguk Rice Cake Soup,Bowl,South Korea,4,Republic of Korea,"3,590","3,650","3,830","3,740","3,820"
GaGa,Mie Gepeng Kuah Rasa Ayam Lada Hitam,Pack,Indonesia,3.25,Indonesia,"13,430","13,200","13,010","12,620","12,540"
Wu-Mu,Ramen With Pickled Mustard Flavor,Pack,Taiwan,3.5,Taiwan,710,680,770,820,830
Wu-Mu,Steam Mushroom Flavor Ramen,Pack,Taiwan,3.25,Taiwan,710,680,770,820,830
Thai Choice,Instant Noodles Chicken Flavour,Cup,Thailand,3,Thailand,"3,070","3,070","3,360","3,390","3,460"
Myojo,Prawn Noodles,Pack,Singapore,4.25,Singapore,130,130,130,130,130
Nissin,Cup Noodles Sabor A Carne Sopa Con Fideos,Cup,Colombia,3,Colombia,10,10,10,10,20
A-One,Mì Ly Instant Noodles Mì Tôm Shrimp Flavor,Cup,Vietnam,3.25,Viet Nam,"5,000","4,800","4,920","5,060","5,200"
Nongshim,Sain Sain Garlic Teriyaki Fresh Cooked Udon Pasta,Tray,South Korea,4.5,Republic of Korea,"3,590","3,650","3,830","3,740","3,820"
JML,Braised Beef Noodles,Pack,China/Hong Kong,4,China/Hong Kong,"44,400","40,430","38,520","38,970","40,250"
Sau Tao,QQ Scallop Seafood Vermicelli,Bowl,China/Hong Kong,3.75,China/Hong Kong,"44,400","40,430","38,520","38,970","40,250"
Kimura,Kumamoto Tonkotsu Ramen,Pack,Japan,5,Japan,"5,500","5,540","5,660","5,660","5,780"
Batchelors,Super Noodles Roast Beef & Onion Flavour,Pack,United Kingdom,3.25,UK,360,360,360,360,370
Lucky Me!,Supreme Chow Mein Seafood Flavor Instant Stir-Fried Noodles,Bowl,Philippines,3.25,Philippines,"3,320","3,480","3,410","3,750","3,980"
Thai Kitchen,Rice Noodle Cart Sweet Citrus Ginger,Tray,United States,4.25,USA,"4,280","4,080","4,100","4,130","4,400"
Nongshim,Oolongmen Kimchi Cup Noodle Soup Mix,Cup,South Korea,4,Republic of Korea,"3,590","3,650","3,830","3,740","3,820"
Koka,Purple Wheat Noodles Aglio Olio,Pack,Singapore,2.75,Singapore,130,130,130,130,130
Tokachimen Koubou,Jet Black Sesame Oil Pork Tonkotsu,Bowl,Japan,2.25,Japan,"5,500","5,540","5,660","5,660","5,780"
Deshome,Sun Dried Noodle Chlorella Powder Noodle With Curry Sauce,Pack,Taiwan,5,Taiwan,710,680,770,820,830
Ko-Lee,Instant Noodles Mixed Vegetable,Pack,United Kingdom,3.5,UK,360,360,360,360,370
Ottogi,Ppushu Ppushu Noodle Snack Bulgogi Flavor,Pack,South Korea,3.25,Republic of Korea,"3,590","3,650","3,830","3,740","3,820"
Vifon,Mì Gà Tìm Chua Cay Hot & Sour Chicken Flavor Instant Noodles,Pack,Vietnam,2,Viet Nam,"5,000","4,800","4,920","5,060","5,200"
Adabi,Mi Bandung Prawn Mee,Pack,Malaysia,4.25,Malaysia,"1,340","1,370","1,390","1,310","1,370"
Wu-Mu,Ramen With Stewed Pork Flavor,Pack,Taiwan,4.5,Taiwan,710,680,770,820,830
Wu-Mu,Shiitake Flavor Spinach Ramen,Pack,Taiwan,3.75,Taiwan,710,680,770,820,830
Sainsbury's,Basics Instant Noodles Chicken Curry Flavour,Pack,United Kingdom,3.25,UK,360,360,360,360,370
Samyang Foods,Baked Noodle Spicy Grilled Beef Ramyun,Pack,South Korea,3.5,Republic of Korea,"3,590","3,650","3,830","3,740","3,820"
Prima Taste,Singapore Chilli Crab La Mian,Pack,Singapore,5,Singapore,130,130,130,130,130
Ko-Lee,Instant Noodles Taste Sensations Creamy Shrimp Tom Yum Flavour,Pack,United Kingdom,5,UK,360,360,360,360,370
Chewy,Rice Vermicelli Scallop With XO Sauce Flavour,Pack,China/Hong Kong,2.5,China/Hong Kong,"44,400","40,430","38,520","38,970","40,250"
Wu-Mu,Dried Noodle With Jah Jan Sauce,Pack,Taiwan,3.25,Taiwan,710,680,770,820,830
ABC,Mi Cup Rasa Soto Ayam Chicken Soto Flavour,Cup,Indonesia,3.75,Indonesia,"13,430","13,200","13,010","12,620","12,540"
ABC,Selera Pedas Mi Goreng Cup Rasa Gulai Ayam Pedas Hot Gulai Chicken,Cup,Indonesia,4,Indonesia,"13,430","13,200","13,010","12,620","12,540"
ABC,Rasa Ayam Bawang Chicken Onion Flavour,Cup,Indonesia,3.75,Indonesia,"13,430","13,200","13,010","12,620","12,540"
ABC,Selera Pedas Mi Goreng Cup Rasa Ayam Pedas Limau Hot Chicken Lemon Flavour,Cup,Indonesia,4.25,Indonesia,"13,430","13,200","13,010","12,620","12,540"
Nissin,Cup Noodle Curry X Gunpla RX-78-2 Gundam,Cup,Japan,4.25,Japan,"5,500","5,540","5,660","5,660","5,780"
ABC,Mi Cup Rasa Kari Ayam Chicken Curry Flavour,Cup,Indonesia,3.75,Indonesia,"13,430","13,200","13,010","12,620","12,540"
Eat & Go,Rasa Baso Sapi Meat Ball Mi Instan Cup,Cup,Indonesia,3.75,Indonesia,"13,430","13,200","13,010","12,620","12,540"
ABC,Mi Goreng Pangsit Fried Noodle With Dumpling,Pack,Indonesia,5,Indonesia,"13,430","13,200","13,010","12,620","12,540"
Eat & Go,Chicken Onion Mi Instan Cup,Cup,Indonesia,3.75,Indonesia,"13,430","13,200","13,010","12,620","12,540"
President,Mi Goreng Rasa Ayam Chicken Flavoured Fried Noodle,Pack,Indonesia,4.5,Indonesia,"13,430","13,200","13,010","12,620","12,540"
ABC,Mi Goreng Spesial Special Fried Noodle,Cup,Indonesia,4,Indonesia,"13,430","13,200","13,010","12,620","12,540"
Eat & Go,Curry Chicken Mi Instan Cup,Cup,Indonesia,4.25,Indonesia,"13,430","13,200","13,010","12,620","12,540"
Thai Choice,Instant Noodles Shrimp Flavour,Cup,Thailand,3.25,Thailand,"3,070","3,070","3,360","3,390","3,460"
Four Seas,Sesame Oil Chicken Flavour Instant Noodle,Bowl,China/Hong Kong,2.75,China/Hong Kong,"44,400","40,430","38,520","38,970","40,250"
Nissin,Chow Mein Teriyaki Chicken Flavor Chow Mein Noodles,Tray,United States,3.75,USA,"4,280","4,080","4,100","4,130","4,400"
Tesco,Instant Noodles Chow Mein Flavour,Pack,United Kingdom,2.25,UK,360,360,360,360,370
Mama,Instant Noodles Tom Saab Flavour,Pack,Thailand,3.5,Thailand,"3,070","3,070","3,360","3,390","3,460"
Samyang Foods,三養라면 (Samyang Ramyun) (South Korean Version),Bowl,South Korea,3.75,Republic of Korea,"3,590","3,650","3,830","3,740","3,820"
Nissin,Sabor A Pollo Sopa Con Fideos,Cup,Colombia,2.75,Colombia,10,10,10,10,20
Wu-Mu,Beef Flavour Tomato Ramen,Pack,Taiwan,4,Taiwan,710,680,770,820,830
Maruchan,I Want To Eat Ramen Pork Tonkotsu Flavor,Pack,Japan,4,Japan,"5,500","5,540","5,660","5,660","5,780"
Annie Chun's,Ramen House Chicken Vegetable Flavored Ramen,Pack,United States,4,USA,"4,280","4,080","4,100","4,130","4,400"
Sau Tao,Instant Noodle King Abalone & Chicken Flavoured,Pack,China/Hong Kong,3.5,China/Hong Kong,"44,400","40,430","38,520","38,970","40,250"
Unif,Unif-100 Pickled Cayenne Flavor Beef Ramen,Pack,China/Hong Kong,3.75,China/Hong Kong,"44,400","40,430","38,520","38,970","40,250"
Nissin,Demae Rice Vermicelli Chicken Flavour Instant Rice Vermicelli With Soup Base,Pack,China/Hong Kong,1.75,China/Hong Kong,"44,400","40,430","38,520","38,970","40,250"
Thai Pavilion,Garlic Chili Instant Rice Noodles & Sauce,Tray,United States,4,USA,"4,280","4,080","4,100","4,130","4,400"
Nissin,Donbei Kansai Soy Sauce Flavor Udon,Pack,Japan,3.75,Japan,"5,500","5,540","5,660","5,660","5,780"
Maggi,Big Kari Perencah (Big Curry Flavor) 2 Minute Noodles,Pack,Malaysia,4,Malaysia,"1,340","1,370","1,390","1,310","1,370"
SuperMi,Rasa Ayam Spesial,Pack,Indonesia,4,Indonesia,"13,430","13,200","13,010","12,620","12,540"
Sapporo Ichiban,Sesame Ramen,Pack,Japan,5,Japan,"5,500","5,540","5,660","5,660","5,780"
Mama,Instant Noodles Creamy Tom Yum Minced Pork Flavour,Pack,Thailand,3.5,Thailand,"3,070","3,070","3,360","3,390","3,460"
Emart,Dare You Habanero Ramyun,Cup,South Korea,3.25,Republic of Korea,"3,590","3,650","3,830","3,740","3,820"
Nissin,Demae Ramen Miso Tonkotsu Artificial Pork Flavor Ramen Noodle,Pack,China/Hong Kong,3.75,China/Hong Kong,"44,400","40,430","38,520","38,970","40,250"
Sainsbury's,Barbecue Beef Flavour Instant Noodles,Pack,United Kingdom,2.75,UK,360,360,360,360,370
Nissin,Sabor A Pollo Sopa Instantánea Con Fideos,Pack,Colombia,3.25,Colombia,10,10,10,10,20
GaGa,Mie Gepeng Kuah Rasa Ayam Bawang Pedas,Pack,Indonesia,3.25,Indonesia,"13,430","13,200","13,010","12,620","12,540"
A-Sha Dry Noodle,Instant Noodle Shallot Flavor,Pack,Taiwan,3.75,Taiwan,710,680,770,820,830
Saji,Sajimee Original Soto Soup Flavor,Pack,Malaysia,4,Malaysia,"1,340","1,370","1,390","1,310","1,370"
Kumamoto,Tonkotsu Ramen MEGA Dragon,Pack,Japan,2.5,Japan,"5,500","5,540","5,660","5,660","5,780"
Maruchan,Seimen Japanese Instant Ramen Noodles Shio Aji,Pack,Japan,3.75,Japan,"5,500","5,540","5,660","5,660","5,780"
Mr. Noodles,Chicken Kimchi Oriental Style Noodles With Soup Base,Bowl,Canada,0.5,Canada,190,190,190,190,190
Master Kong,Artificial Braised Beef Flavor Instant Noodle,Bowl,China/Hong Kong,3.75,China/Hong Kong,"44,400","40,430","38,520","38,970","40,250"
Nissin,Pan Asian Kitchen Sweet & Sour Chicken Flavor Ramen Noodles,Tray,United States,3.75,USA,"4,280","4,080","4,100","4,130","4,400"
HoMyeonDang,Premium Noodle House Seafood Ramyun,Pack,South Korea,4,Republic of Korea,"3,590","3,650","3,830","3,740","3,820"
Sawadee,Instant Noodles Prawn Oriental Flavour,Pack,Malaysia,2.5,Malaysia,"1,340","1,370","1,390","1,310","1,370"
Nissin,Soba Classic Noodles With Japanese Yakisoba Sauce,Cup,Germany,3.75,Germany,180,190,200,200,200
ABC,Selera Pedas Hot Semur Chicken Flavour,Pack,Indonesia,4.5,Indonesia,"13,430","13,200","13,010","12,620","12,540"
Nissin,Ultraman Instant Noodle Pork Flavour,Cup,Japan,3,Japan,"5,500","5,540","5,660","5,660","5,780"
Tokyo Noodle,Mini Instant Noodle Spicy Flavor,Pack,Japan,3.5,Japan,"5,500","5,540","5,660","5,660","5,780"
Sau Tao,Ho Fan Beef Soup Flavored,Pack,China/Hong Kong,3.75,China/Hong Kong,"44,400","40,430","38,520","38,970","40,250"
Doll,Hello Kitty Dim Sum Noodle Japanese Curry Flavour,Cup,China/Hong Kong,3.5,China/Hong Kong,"44,400","40,430","38,520","38,970","40,250"
Batchelors,Super Low Fat Noodles Chilli Chicken Flavour,Pack,United Kingdom,1,UK,360,360,360,360,370
GaGa,Mi Instan Cup Milk Chicken Soup,Cup,Indonesia,4.75,Indonesia,"13,430","13,200","13,010","12,620","12,540"
Eat & Go,Rendang Beef Flavour Fried Instant Noodle,Cup,Indonesia,5,Indonesia,"13,430","13,200","13,010","12,620","12,540"
Nan Jie Cun,Hot -Dry Instant Noodles Chilli Flavour,Tray,China/Hong Kong,0.5,China/Hong Kong,"44,400","40,430","38,520","38,970","40,250"
Ruski,Instant Noodles Tom Yum Flavour,Pack,Thailand,3.5,Thailand,"3,070","3,070","3,360","3,390","3,460"
Nissin,Demae Iccho Instant Noodle With Soup Base Artificial Chicken Flavour,Bowl,China/Hong Kong,3,China/Hong Kong,"44,400","40,430","38,520","38,970","40,250"
A-Sha Dry Noodle,Hell Spicy Mala,Pack,Taiwan,4,Taiwan,710,680,770,820,830
Batchelors,Super Noodles Chicken Mushroom Flavour,Pack,United Kingdom,3.25,UK,360,360,360,360,370
Golden Wheat,Korean Style Stew Prok Flavour Cooking Noodle,Pack,China/Hong Kong,3.5,China/Hong Kong,"44,400","40,430","38,520","38,970","40,250"
Nissin,UFO Yakisoba With Wasabi Mayonnaise,Bowl,Japan,5,Japan,"5,500","5,540","5,660","5,660","5,780"
China Best,Frozen Satay Sauce Noodle,Pack,Taiwan,1,Taiwan,710,680,770,820,830
Mama,Instant Noodles Pork Flavour With Black Pepper,Pack,Thailand,3.5,Thailand,"3,070","3,070","3,360","3,390","3,460"
Nissin,Cup Noodles Sabor A Gallina,Cup,Colombia,3.5,Colombia,10,10,10,10,20
GaGa,Mie Gepeng Kuah Rasa Soto Cabe Hijau,Pack,Indonesia,3.5,Indonesia,"13,430","13,200","13,010","12,620","12,540"
Sugakiya Foods,Udon Miso Stew,Pack,Japan,3.25,Japan,"5,500","5,540","5,660","5,660","5,780"
A-Sha Dry Noodle,Instant Noodle Curry Flavour,Pack,Taiwan,4.25,Taiwan,710,680,770,820,830
Men-Sunaoshi,Tonkotsu Ramen,Pack,Japan,3.75,Japan,"5,500","5,540","5,660","5,660","5,780"
Mama,Instant Noodles Chicken Green Curry Flavour,Pack,Thailand,3.75,Thailand,"3,070","3,070","3,360","3,390","3,460"
Samyang Foods,Maesaengyitangmyun Baked Noodle,Pack,South Korea,5,Republic of Korea,"3,590","3,650","3,830","3,740","3,820"
Nissin,Cup Noodle Chilli Tomato,Cup,Japan,4.5,Japan,"5,500","5,540","5,660","5,660","5,780"
Nissin,Bowl Noodles Chicken Flavor,Bowl,United States,3.5,USA,"4,280","4,080","4,100","4,130","4,400"
Sawadee,Instant Noodles Spicy Tomato Flavour,Pack,Malaysia,2.5,Malaysia,"1,340","1,370","1,390","1,310","1,370"
Paldo,Namja Ramyun (US Version),Bowl,South Korea,4,Republic of Korea,"3,590","3,650","3,830","3,740","3,820"
Nissin,Soba Curry Noodles With Japanese Yakisoba Sauce,Cup,Germany,3.75,Germany,180,190,200,200,200
Wu-Mu,Ramen With Simmered Pork Flavor,Pack,Taiwan,3.75,Taiwan,710,680,770,820,830
GaGa,Seribu 1000 Goreng Spesial,Pack,Indonesia,4,Indonesia,"13,430","13,200","13,010","12,620","12,540"
Sanrio,Hello Kitty Hakata Shoyutonkotsu Ramen,Bowl,Japan,3.75,Japan,"5,500","5,540","5,660","5,660","5,780"
Acecook,Comet Mori Yukino Tan-tan men,Bowl,Japan,5,Japan,"5,500","5,540","5,660","5,660","5,780"
Chencun,Braised Pork Ribs,Cup,China/Hong Kong,3,China/Hong Kong,"44,400","40,430","38,520","38,970","40,250"
Nongshim,Shin Ramyun Cup,Cup,South Korea,3.5,Republic of Korea,"3,590","3,650","3,830","3,740","3,820"
Nissin,Sabor A Carne Sopa Instantánea Con Fideos,Pack,Colombia,3.75,Colombia,10,10,10,10,20
Sainsbury's,Basics Instant Noodles Chicken Flavour,Pack,United Kingdom,3.25,UK,360,360,360,360,370
Sapporo Ichiban,Pokemon Shoyu Ramen,Cup,Japan,3.5,Japan,"5,500","5,540","5,660","5,660","5,780"
Paldo,Cheese Noodle,Pack,South Korea,5,Republic of Korea,"3,590","3,650","3,830","3,740","3,820"
Ko-Lee,Go Noodles Xtreme Hot & Spicy Flavour,Pack,United Kingdom,3.75,UK,360,360,360,360,370
Samyang Foods,Star Popeye Ramyun Snack,Pack,South Korea,4,Republic of Korea,"3,590","3,650","3,830","3,740","3,820"
Wei Lih,What’s That? Leisure Meatballs Spicy Chicken Flavor,Pack,Taiwan,3.75,Taiwan,710,680,770,820,830
Myojo,Chukazanmai Guangdong Style Ramen,Pack,Japan,4.25,Japan,"5,500","5,540","5,660","5,660","5,780"
Nongshim,Shin Black Spicy Pot-au-feu Flavor Premium Noodle Soup,Cup,United States,5,USA,"4,280","4,080","4,100","4,130","4,400"
ABC,Mi ABC Rasa Ayam Bawang (Onion Chicken),Pack,Indonesia,4,Indonesia,"13,430","13,200","13,010","12,620","12,540"
Maruchan,Old Style Shio Ramen,Pack,Japan,3.5,Japan,"5,500","5,540","5,660","5,660","5,780"
Healtimie,Green Barley Noodle Milk Chicken Soup,Pack,Indonesia,4.25,Indonesia,"13,430","13,200","13,010","12,620","12,540"
Itomen,Crab Flavor Instant Ramen,Pack,Japan,4,Japan,"5,500","5,540","5,660","5,660","5,780"
Pop Bihun,Spesial Goreng Special,Pack,Indonesia,3.5,Indonesia,"13,430","13,200","13,010","12,620","12,540"
Koyo,Seaweed Ramen Made With Organic Noodles,Pack,United States,2.75,USA,"4,280","4,080","4,100","4,130","4,400"
Tiger Tiger,Traveller's Choice Indian Tikka Masala Flavour,Pack,United Kingdom,3,UK,360,360,360,360,370
Acecook,Jan Jan Yakisoba,Cup,Japan,3.75,Japan,"5,500","5,540","5,660","5,660","5,780"
Mr. Noodles,Noodles In A Cup Beef Simulated Flavour,Cup,Canada,1.75,Canada,190,190,190,190,190
Nissin,Donbei Curry Udon (West Japanese),Bowl,Japan,3.25,Japan,"5,500","5,540","5,660","5,660","5,780"
Kabuto Noodles,Miso Ramen,Cup,United Kingdom,3.75,UK,360,360,360,360,370
Unif,Man Han Feast Sichuan Chilli Eel Flavor,Bowl,Taiwan,5,Taiwan,710,680,770,820,830
Nissin,Chow Mein With Shrimp Chow Mein Noodles,Tray,United States,3.75,USA,"4,280","4,080","4,100","4,130","4,400"
Mr. Noodles,Bowl Chicken Simulated Flavour,Bowl,Canada,2,Canada,190,190,190,190,190
Chewy,Rice Vermicelli Spicy Beef With Chilli Flavour,Pack,China/Hong Kong,3.25,China/Hong Kong,"44,400","40,430","38,520","38,970","40,250"
Nissin,Chanpon Ramen,Pack,Japan,4.75,Japan,"5,500","5,540","5,660","5,660","5,780"
GaGa,100 Green Chilli Soto Flavour,Pack,Indonesia,3.75,Indonesia,"13,430","13,200","13,010","12,620","12,540"
Samyang Foods,Chacharoni,Pack,South Korea,3.75,Republic of Korea,"3,590","3,650","3,830","3,740","3,820"
Peyang,Yakisoba,Tray,Japan,5,Japan,"5,500","5,540","5,660","5,660","5,780"
Nissin,Demae Iccho XO Sauce Seafood Flavour,Bowl,China/Hong Kong,4,China/Hong Kong,"44,400","40,430","38,520","38,970","40,250"
Golden Wonder,The Nation's Noodle Beef & Tomato Flavour,Cup,United Kingdom,4.25,UK,360,360,360,360,370
Vifon,Oriental Style Instant Vermicelli Sour Crab Flavour Soup,Pack,Vietnam,3.75,Viet Nam,"5,000","4,800","4,920","5,060","5,200"
Komforte Chockolates,Savory Ramen ,Bar,United States,5,USA,"4,280","4,080","4,100","4,130","4,400"
Golden Wheat,Korean Style Shrimp Flavour Cooking Noodle,Pack,China/Hong Kong,3.5,China/Hong Kong,"44,400","40,430","38,520","38,970","40,250"
Wu-Mu,Spicy Flavor Tomato Ramen,Pack,Taiwan,4,Taiwan,710,680,770,820,830
Sapporo Ichiban,Tomato & Basil Shio Ramen,Pack,Japan,4,Japan,"5,500","5,540","5,660","5,660","5,780"
Asian Thai Foods,Fatafat Vegetable Flavor,Pack,Nepal,3.75,Nepal,"1,110","1,190","1,340","1,480","1,570"
Asian Thai Foods,Krrish Instant Noodles Chicken Flavor,Pack,Nepal,3.5,Nepal,"1,110","1,190","1,340","1,480","1,570"
Asian Thai Foods,Preeti Instant Noodles Chicken Soup Base,Pack,Nepal,3.5,Nepal,"1,110","1,190","1,340","1,480","1,570"
Asian Thai Foods,Miteri Instant Noodles Vegetable Flavor,Pack,Nepal,3.5,Nepal,"1,110","1,190","1,340","1,480","1,570"
Asian Thai Foods,Rumpum Chicken Soup Base,Pack,Nepal,3.5,Nepal,"1,110","1,190","1,340","1,480","1,570"
Asian Thai Foods,2pm Precooked Noodles Chicken Curry Delight,Pack,Nepal,3.5,Nepal,"1,110","1,190","1,340","1,480","1,570"
Asian Thai Foods,Fatafat Chicken Flavor,Pack,Nepal,3.75,Nepal,"1,110","1,190","1,340","1,480","1,570"
Asian Thai Foods,Krrish Instant Noodles Vegetable Curry Flavor,Pack,Nepal,3.5,Nepal,"1,110","1,190","1,340","1,480","1,570"
Asian Thai Foods,Rumpum Vegetable Soup Base,Pack,Nepal,4.25,Nepal,"1,110","1,190","1,340","1,480","1,570"
Asian Thai Foods,Miteri Instant Noodles Chicken Flavor,Pack,Nepal,4,Nepal,"1,110","1,190","1,340","1,480","1,570"
Asian Thai Foods,Joker Ready To Eat Noodles,Pack,Nepal,3.25,Nepal,"1,110","1,190","1,340","1,480","1,570"
Asian Thai Foods,Preeti Instant Noodles Veg Soup Base,Pack,Nepal,5,Nepal,"1,110","1,190","1,340","1,480","1,570"
